name,slug,manufacturer_slug,generic_slug,description,is_active
Napa,napa,square-pharmaceuticals,paracetamol,Popular paracetamol brand,true
Ace,ace,aci-limited,paracetamol,Common paracetamol brand,true
Fast,fast,drug-international,paracetamol,Fast acting paracetamol,true
Pyrol,pyrol,eskayef-pharma,paracetamol,Widely used pain reliever,true
Reset,reset,incepta-pharma,paracetamol,General pain relief medicine,true
Parapyrol,parapyrol,beximco-pharma,paracetamol,Effective for fever,true
Pyralgin,pyralgin,renata-limited,paracetamol,Standard analgesic,true
Tamen,tamen,aristopharma,paracetamol,Used for mild to moderate pain,true
Febrinil,febrinil,acme-laboratories,paracetamol,Fever reducing medicine,true
Calpol,calpol,gsk-bd,paracetamol,Popular pediatric paracetamol,true
Seclo,seclo,square-pharmaceuticals,omeprazole,Popular omeprazole brand,true
Losectil,losectil,beximco-pharma,omeprazole,Acid reducing medicine,true
Maxpro,maxpro,renata-limited,esomeprazole,Proton pump inhibitor,true
Pantonix,pantonix,incepta-pharma,pantoprazole,Used for acidity and GERD,true
Zimax,zimax,incepta-pharma,azithromycin,Antibiotic for infections,true
Azithro,azithro,drug-international,azithromycin,Macrolide antibiotic,true
Fexo,fexo,square-pharmaceuticals,fexofenadine,Anti-allergic medicine,true
Alatrol,alatrol,eskayef-pharma,fexofenadine,Allergy relief,true
Montair,montair,incepta-pharma,montelukast,Asthma and allergy medicine,true
Monas,monas,aristopharma,montelukast,Leukotriene receptor blocker,true
