name,slug,country,website,email,phone,address,description,is_active
Incepta Pharmaceuticals,incepta-pharma,Bangladesh,https://www.inceptapharma.com,info@incepta.com,+8801900000000,Dhaka,Leading innovative pharma company,true
Renata Limited,renata-limited,Bangladesh,https://www.renata-ltd.com,info@renata.com,+8801700000001,Dhaka,Well known pharmaceutical manufacturer,true
ACME Laboratories,acme-laboratories,Bangladesh,https://www.acmeglobal.com,info@acme.com,+8801700000002,Dhaka,Trusted medicine producer,true
Eskayef Pharmaceuticals,eskayef-pharma,Bangladesh,https://www.skfbd.com,info@skf.com,+8801700000003,Dhaka,High quality pharma products,true
ACI Limited,aci-limited,Bangladesh,https://www.aci-bd.com,info@aci.com,+8801700000004,Dhaka,Diversified pharmaceutical company,true
Drug International,drug-international,Bangladesh,https://www.drug-international.com,info@drugint.com,+8801700000005,Dhaka,Fast growing pharma company,true
Aristopharma,aristopharma,Bangladesh,https://www.aristopharma.com,info@aristo.com,+8801700000006,Dhaka,Well reputed pharma manufacturer,true
Healthcare Pharmaceuticals,healthcare-pharma,Bangladesh,https://www.healthcarepharma.com,info@healthcare.com,+8801700000007,Dhaka,Produces quality medicines,true
Opsonin Pharma,opsonin-pharma,Bangladesh,https://www.opsonin-pharma.com,info@opsonin.com,+8801700000008,Dhaka,Trusted pharma brand,true
Orion Pharma,orion-pharma,Bangladesh,https://www.orionpharmabd.com,info@orion.com,+8801700000009,Dhaka,Leading pharmaceutical company,true
Navana Pharmaceuticals,navana-pharma,Bangladesh,https://www.navapharma.com,info@navana.com,+8801700000010,Dhaka,Emerging pharma company,true
General Pharmaceuticals,general-pharma,Bangladesh,https://www.generalpharma.com,info@general.com,+8801700000011,Dhaka,Produces generic medicines,true
Unimed Unihealth,unimed-unihealth,Bangladesh,https://www.unimedunihealth.com,info@unimed.com,+8801700000012,Dhaka,Specialized pharma company,true
Delta Pharma,delta-pharma,Bangladesh,https://www.deltapharma.com,info@delta.com,+8801700000013,Dhaka,Local pharmaceutical manufacturer,true
Zenith Pharmaceuticals,zenith-pharma,Bangladesh,https://www.zenithpharma.com,info@zenith.com,+8801700000014,Dhaka,Provides affordable medicines,true
Team Pharmaceuticals,team-pharma,Bangladesh,https://www.teampharma.com,info@team.com,+8801700000015,Dhaka,Develops modern medicines,true
Biopharma,biopharma,Bangladesh,https://www.biopharmabd.com,info@biopharma.com,+8801700000016,Dhaka,Manufacturer of generic drugs,true
Popular Pharmaceuticals,popular-pharma,Bangladesh,https://www.popular-pharma.com,info@popular.com,+8801700000017,Dhaka,Well known pharma brand,true
Ibn Sina Pharmaceuticals,ibn-sina,Bangladesh,https://www.ibnsinapharma.com,info@ibnsina.com,+8801700000018,Dhaka,Trusted healthcare company,true
GlaxoSmithKline Bangladesh,gsk-bd,Bangladesh,https://www.gsk.com,info@gsk.com,+8801700000019,Dhaka,Multinational pharmaceutical company,true
